t_sec,fatigue,focus,heart_age,coherence,resilience
144,43.1,29.5,74.7,92.3,21.4
145,43.1,24.2,75.2,89.4,21.2
146,43.0,16.5,73.9,86.9,21.9
147,43.3,5.1,72.7,81.1,22.6
148,42.8,7.4,73.8,84.5,21.8
149,42.4,10.8,73.4,89.9,21.6
150,42.0,19.6,71.0,93.5,22.9
151,41.8,13.9,71.4,95.3,22.5
152,41.8,15.8,71.4,95.8,22.6
153,41.3,14.3,71.1,94.7,22.5
154,41.3,21.2,71.6,91.7,22.2
155,40.8,17.6,72.4,88.1,21.3
156,40.6,20.3,69.4,80.5,22.8
157,40.1,19.7,65.8,81.1,24.1
158,40.3,12.0,66.0,85.4,24.1
159,41.3,13.1,66.2,89.3,25.3
160,40.9,15.8,66.1,90.5,25.1
161,40.0,16.2,66.1,86.4,24.5
162,40.1,6.2,67.5,79.2,24.0
163,40.2,10.7,68.3,82.5,23.8
164,40.4,20.0,66.9,86.1,24.6
165,40.3,25.5,66.9,87.7,24.7
166,40.1,16.2,66.0,81.7,25.1
167,39.5,27.5,65.8,80.2,25.1
168,40.0,38.1,66.2,79.1,25.6
169,39.8,32.4,67.6,79.6,24.7
170,40.4,28.9,68.4,82.1,25.0
171,40.8,26.0,68.8,85.5,25.0
172,40.8,27.9,68.7,87.9,25.0
173,41.0,29.7,67.9,88.6,25.6
174,41.1,32.1,67.6,88.0,25.7
175,41.0,33.6,67.5,87.3,25.5
176,48.3,31.6,57.8,85.4,38.3
177,40.6,32.3,69.3,81.7,24.2
178,40.6,42.2,69.4,84.3,24.2
179,40.8,45.5,69.4,87.2,24.4
180,41.1,32.1,65.7,88.6,26.8
181,41.0,32.0,64.7,88.4,27.5
182,41.9,39.4,65.1,87.7,28.3
183,42.4,36.5,64.6,87.8,28.8
184,42.6,35.5,64.4,85.6,29.1
185,43.3,38.8,64.3,87.5,29.5
186,43.6,35.8,64.5,90.5,29.4
187,43.6,32.1,64.2,92.9,29.6
188,43.8,32.9,64.2,92.9,29.8
189,43.8,35.4,64.3,90.7,29.7
190,43.9,36.6,64.2,87.9,29.8
191,43.7,37.1,63.8,82.8,29.8
192,43.4,41.2,64.2,83.6,29.5
193,42.8,38.4,64.3,87.6,29.5
194,41.9,37.1,64.3,92.9,29.2
195,41.8,44.2,64.8,96.1,28.9
196,41.7,48.8,65.9,96.1,28.1
197,40.8,41.1,66.3,93.6,27.6
198,40.4,33.6,66.3,87.6,27.2
199,40.9,41.7,67.0,82.9,26.8
200,40.7,44.4,67.9,81.5,26.1
201,40.5,33.8,67.8,84.1,25.9
202,40.5,35.4,67.9,89.0,26.2
203,40.7,41.3,67.9,92.7,26.2
204,40.8,36.6,67.1,93.3,27.0
205,41.2,40.2,64.0,91.1,29.1
206,41.2,39.6,62.2,85.8,30.0
207,40.9,41.9,58.7,81.9,31.7
208,41.9,37.3,57.7,81.6,32.2
209,43.2,41.5,55.2,84.1,35.2
210,41.8,44.3,54.6,87.3,34.0
211,41.2,39.5,53.6,90.7,34.5
212,41.1,40.9,52.5,90.0,35.1
213,40.4,42.8,50.4,86.2,36.4
214,40.7,40.4,50.4,81.6,36.8
215,40.7,49.1,50.4,75.6,36.7
216,41.1,45.4,50.6,75.0,36.9
217,41.1,42.3,50.6,77.4,35.9
218,41.3,39.7,50.3,80.6,36.3
219,41.7,45.5,48.7,82.8,37.5
220,47.6,48.8,42.7,82.3,46.6
221,41.8,46.0,46.1,74.6,38.5
222,42.6,51.6,46.0,69.3,38.8
223,42.7,45.9,45.9,63.5,38.7
224,42.8,40.1,45.5,65.9,38.9
225,44.1,40.2,43.1,69.0,41.7
226,42.7,52.7,43.8,67.8,39.0
227,42.6,58.0,43.5,69.7,39.1
228,42.0,59.2,43.7,69.8,38.2
229,41.1,61.9,43.6,68.6,38.1
230,41.0,56.3,43.5,66.3,38.0
231,41.2,56.7,44.0,65.6,38.1
232,41.9,53.3,44.4,67.9,38.7
233,42.8,40.7,42.5,68.4,40.2
234,43.7,35.8,42.7,70.0,41.2
235,44.0,40.1,42.8,69.8,41.6
236,44.6,44.5,42.7,66.5,41.8
237,44.4,37.0,42.8,60.6,41.6
238,44.1,36.0,42.9,60.8,41.2
